subjID,wave,date,ph1,sm1_1,sm1_5,sm1_9,ax1_1,ax1_2,ax1_3,ax1_4,ax1_5,ax1_6,ax1_7,ax1_8,ax1_9,ax1_10,bf1,bf2,bf3_1,bf3_3,bf3_4,bf3_5,bf3_6,bf4,bf5,pm2,pm3,pm3a,pm4,pm5,pm7,pm7b,pm10_1,pm10_2,pm10_3,pm10_5,pm10_6,sex,age_gp,edu,wtageSG1
41,1,20090429,1,2,2,2,4,4,4,4,4,1,1,1,1,1,4,2,1,1,1,1,1,5,5,1,2,NA,2,4,2,NA,NA,NA,NA,NA,NA,2,3,7,1.021277087
42,1,20090429,2,2,1,2,3,2,2,2,3,2,2,2,1,1,NA,2,1,1,1,1,1,7,5,1,1,NA,1,4,3,NA,NA,NA,NA,NA,NA,2,NA,5,0.767019689
43,1,20090429,2,2,2,2,2,2,2,2,2,2,2,1,2,1,NA,3,1,1,1,1,2,5,2,1,1,NA,1,4,4,NA,NA,NA,NA,NA,NA,1,4,5,1.286363716
44,1,20090429,3,2,2,2,3,2,2,3,1,2,2,1,3,1,4,3,1,2,2,1,2,4,3,1,3,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,1,6,0.897544476
45,1,20090429,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,4,1,1,1,2,1,6,5,2,3,NA,1,4,4,NA,NA,NA,NA,NA,NA,1,4,4,1.286363716
46,1,20090429,1,2,2,2,3,4,4,3,4,1,1,1,1,1,NA,1,1,1,1,1,NA,7,2,1,1,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,4,5,0.607403236
47,1,20090429,1,2,1,2,2,2,2,3,3,1,1,1,2,2,4,2,1,2,2,1,2,5,3,1,2,NA,2,4,4,NA,NA,NA,NA,NA,NA,1,1,7,0.91593989
48,1,20090429,3,2,2,2,3,4,4,4,1,1,1,1,1,1,4,1,2,2,2,2,2,1,1,4,2,NA,2,4,3,NA,NA,NA,NA,NA,NA,2,5,3,0.511206068
49,1,20090429,2,2,2,2,3,2,2,2,2,2,2,2,1,1,2,5,1,1,1,NA,1,5,4,1,3,NA,2,4,3,NA,NA,NA,NA,NA,NA,2,5,7,0.511206068
50,1,20090429,3,2,2,2,3,3,2,3,3,1,1,1,1,1,3,4,1,2,2,1,1,3,4,2,4,NA,4,4,4,NA,NA,NA,NA,NA,NA,2,4,7,0.607403236
51,1,20090429,2,2,2,2,3,3,3,3,3,1,1,1,1,1,3,2,1,2,1,1,2,5,4,1,1,NA,1,4,3,NA,NA,NA,NA,NA,NA,1,3,7,1.82317159
52,1,20090429,2,2,2,2,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,1,1,2,1,4,5,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,2,1,5,0.897544476
53,1,20090429,3,2,2,2,1,2,2,2,1,2,2,1,1,1,3,4,1,2,2,1,1,5,4,2,3,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,3,5,1.021277087
54,1,20090429,2,2,1,2,3,2,2,3,3,1,1,1,1,1,NA,2,1,1,1,2,2,2,4,1,3,NA,2,1,2,NA,NA,NA,NA,NA,NA,2,5,7,0.511206068
55,1,20090429,3,2,2,2,2,2,2,2,2,1,1,1,1,1,NA,NA,1,1,1,1,NA,5,2,4,1,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,6,7,1.313043773
56,1,20090429,2,2,1,2,2,3,3,2,2,1,1,1,1,1,4,1,1,2,2,1,2,1,2,1,1,NA,4,4,4,NA,NA,NA,NA,NA,NA,1,2,7,1.481328174
57,1,20090429,2,2,2,2,2,2,2,4,2,1,1,1,1,1,2,2,1,1,1,1,2,5,2,1,1,NA,1,4,4,NA,NA,NA,NA,NA,NA,1,2,6,1.481328174
58,1,20090429,2,2,2,2,4,3,2,3,2,1,1,1,1,1,2,3,1,1,1,1,1,5,3,3,4,NA,1,4,2,NA,NA,NA,NA,NA,NA,1,5,6,0.925080444
59,1,20090429,2,2,2,2,1,1,2,1,1,1,1,1,1,1,3,2,1,1,2,2,2,4,1,4,2,NA,4,4,4,NA,NA,NA,NA,NA,NA,1,6,4,1.174388183
60,1,20090429,1,2,2,2,2,2,3,3,2,2,1,1,1,1,3,3,1,1,1,1,2,4,3,1,3,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,4,6,0.607403236
